feature,mean_importance
num__pm10_lag_1h,0.47524140337088594
num__pm10_change_rate,0.1380918661658056
num__pm10_max_6h,0.04117891662068725
num__temperature_2m_lag_3h,0.03403480588364458
num__month_cos,0.01532632081826657
num__relative_humidity_2m_lag_3h,0.014341882778866699
num__temperature_2m_lag_168h,0.012803265968834942
num__nitrogen_dioxide,0.012610231795210947
num__pm2_5_change_rate,0.012546734684847927
num__pm10_min_6h,0.01238233941008413
num__pm_ratio,0.012142251279329618
num__temperature_2m,0.01164038131340488
