feature,mean_abs_shap
num__humidity_pm2_5,6.845366222305986
num__temperature_2m_lag_3h,6.216442779765962
num__pm2_5_change_rate,6.214714113723844
num__pm2_5_avg_3h,5.890687361902479
num__pm2_5_max_12h,4.9196080500742205
num__month_cos,4.5926148819446695
num__relative_humidity_2m_lag_1h,4.226595306898707
num__temperature_2m,3.3749386455618424
num__pm2_5_lag_1h,3.102844008491041
num__nitrogen_dioxide,3.0894299864544092
num__temperature_2m_lag_168h,2.345832657262356
num__pm2_5_mean_12h,2.170039595249453
