feature,mean_importance
num__hour_cos,0.22250730178260433
num__pm2_5_max_12h,0.17109824285591918
num__month_cos,0.06352268406161299
num__pm2_5_min_6h,0.03806003286019546
num__temp_pm2_5,0.03730459907767523
num__pm2_5_max_6h,0.02889732662820379
num__sulphur_dioxide,0.024919767493658207
num__pm10_min_12h,0.02484670844964647
num__ozone_change_rate,0.022355403101276927
num__humidity_pm2_5,0.019358880244061027
num__temperature_2m_lag_168h,0.018309779403465055
num__nitrogen_dioxide,0.017963327203877943
